Name, Landmark, City, Town, Bed, Bath, Size, Currency, Rent, Owner,Listing_Date, Type, Description
4 bedrooms for rent,Opposite Zoomlion Head Office Ayigbe Ave,Adjiriganor,Accra,4,2,100 sqm,Ghana cedis,1200,John Kofi Tuglo , 8 Jul 12:13 pm,House,It has burglar proof  gated with electric security wire installed  sliding windows  big dining and living area  air conditioner in two rooms  a big compound to organize outdoor activities.
house for rent@haatso,haatso bohy3 near grand star hotel,Haatso,Accra,2,2,100x100 sqm,Ghana cedis,1000,twum-danso frimpong , 8 Jul 11:34 am,House,a 2 bed rooms with a big hall a dining area a big compound for as many cars fitted AC's furnished kitchen fitted wardrobes security fenced gate with cameras  with a security dog.in a serene environment.located at haatso bohy3
New 2bedroom house at Spintex,,Spintex,Accra,2,2,14 sqm,Ghana cedis,1200,Big Ghana Properties Consult ,10 Jul  8:29 am,House,Excellent newly built modern 2bedrm selfcompound wit 2washrm for rent in spintex pls for more options call BIG GHANA PROPERTIES CONSULT
4 bedroom house at Adenta frafraha,,Adenta,Accra,4,4,232 sqft,Ghana cedis,2000,Unique Shelter , 8 Jul 10:49 am,House,It has water 2000 per month for 1yr or  for 2 yrs
Executive 3 bedrooms house-East Legon,East Legon,East Legon,Accra,3,3,150 sqm,Ghana cedis,6300,Egghead Properties , 8 Jul 10:48 am,House,Executive 3 bedrooms house with 1 bedroom servant’s quarters renting at East Legon near Adjiriganor within a gated community. Details of the property •	Available: now  •	City: Accra   •	Fence type: Block wall and wooden & metallic gate  •	Bedrooms: 3  •	Full baths: 3 •	Condition: very good  •	Interior: 150 square meter (sqm)  •	Luxury house •	Rent: $1 500.00 per month for one (1) year advance •	Property type: single family residence. Egghead properties present 3 bedrooms house at East Legon near Adjiriganor inside a gated community on the most tranquil prestigious serene street in Accra. While the gated community may look like it resides in Europe  this extravagant estate is actually located in Accra – Ghana. The wonderful property is a modern glory  100% completed constructed with careful attention to details. The ceilings  walls  doors  fixtures  chandeliers  fabrics  windows  lighting and electronics were hand-selected and crafted to complement the design.  Inside/Indoors/Interior Features & Amenities: •	Unfurnished  •	Prime location  •	Renovated  •	Quality electrical fittings •	Sliding glazed windows   •	Polished porcelain floor tiles   •	Alarm system-owned •	Spacious master suites  •	Guest shower & WC •	Fitted Air-conditioners •	Hot water generation system  •	Laundry room:- washing machine  •	All rooms are ensuite  •	Private locker •	Living + dining:-floor area 40 sqm   glazed security doors for front  security steel doors for the back  air conditioned  sliding glazed windows. •	Master’s bedroom:-floor area 25 sqm  internal panelled doors  air conditioned  sliding glazed windows south facing windows allow plenty of natural light  built-in-wardrobe  sliding glazed windows facing private terrace  bathtub  the bathroom is ensuite Shower & hand wash basin  WC and ceramic floor & wall tiles. •	2nd Bedroom:-floor area 18 sqm  internal panelled doors  air conditioned  sliding glazed windows  built-in-wardrobe  bathtub  the bathroom is ensuite Shower & hand wash basin  WC ceramic floor & wall tiles. •	3rd Bedroom:-floor area 17.5 sqm  internal panelled doors  air conditioned  built-in-wardrobe the bathroom is ensuite Shower & WC  bathtub  sliding glazed windows and ceramic floor & wall tiles. •	Kitchen:- floor area 15 sqm  internal panelled doors    modern cabinet  lots of cabinetry space  stainless steel double sink  breakfast bar for extra seating  store room. Outside/Outdoor/Exterior Features & Amenities:  •	Located in the heart of town   •	Electric power:- Electricity Company of Ghana and standby generator •	Water supply:- Ghana water company and big water storage tanks •	Paved driveways & walkways  •	Landscape courtyard •	 Garden view  •	Attached garage  •	Guard gated  •	Secure parking  •	Privacy fence  •	Balcony  •	Back yard access •	Private yard •	Boys’ quarters  •	24-hour security service  •	 Big terrace •	 Servant quarters •	 Centralized garbage disposal Community Information •	Tiled streets & roads throughout  •	Upper level communal area  •	Country club  •	Clubhouse  •	Jogging area  •	Biking path  •	Resort •	Spa •	Tennis  •	Police station •	Residential area •	Fitness centre •	Play ground •	Gym facility  •	 Shops/ markets •	Hospitals •	International schools  •	Gated community Additional information •	Less than 15 minutes drive to Accra shopping mall •	Less than 20 minutes drive to the Kotoka International Airport  •	Less than 10 minutes drive to the A & C shopping mall •	Recommended security zone for expatriates and diplomats •	Close to International restaurants and hotels   •	There are trees in the area •	In keeping with nature •	Price: USD price: $1 500.00 per month = GH¢6 300.00 per month •	Price is subjected to charge due to the dollar rate  Important notice:  These particulars have been prepared in all good faith to give a fair overall view of the property. Measurements and distance are given as a guide only. We have endeavoured to ensure the information given is accurate but we would urge you to contact us before travelling any great distance to ensure that your impression of the property is as we intended. We take a month rent commission after service. Please contact us for inspection through the real estate consultant  for an appointment please Call  text or email Emmanuel to arrange a private viewing. Contact person:-Emmanuel Gyina-Bediako-real estate agent/consultant at Egghead Properties Accra Ghana  West Africa.
4 bedrooms for rent at Dansoman,Dansoman,Dansoman,Accra,4,2,100 sqm,Ghana cedis,1400,Royal Real Estate VERIFIED, 8 Jul 10:47 am,House,4 bedrooms for rent in dansoman please call me.....
6 Bedroom house in Adenta,Adenta SDA,Adenta,Accra,6,8,432 sqft,Ghana cedis,15000,Unique Shelter ,12 Jul 11:06 am,House,6 Bedroom for Rent in Adenta SDA going for 3 000usd  for a month or more. The building come with boysquarter  regular flowing water. You can come and see for your self. The road is tarred. Key Features: All Bedroom are en-suite Master Bedroom Balcony Walk in Wardrobe Fitted Kitchen Guest Toilet Boys Quarters 24 Hour Security
Exec 4 bedroom house Cantonment,Cantonment,Cantonments,Accra,4,4,140 sqm,Ghana cedis,15200,Egghead Properties , 8 Jul 10:27 am,House,Executive 4 bedrooms house with 1 bedroom servant’s quarters now renting at Cantonment Details of the property •	Available: now  •	City: Accra  Cantonment •	Street: AU Village  •	Storey: 2 •	Fence type: Block wall and wooden & metallic gate with electrical wire  •	Bedrooms: 4 •	Full baths: 4 •	Condition: very good  •	Interior: 150 square meter (sqm)  •	Total Land size: 0.18 acre •	Luxury apartment  •	Rent: $400.00 per month for one (1) year advance •	Property type: single family residence •	Year built: 2010 Egghead properties present 4 bedrooms house with 1 bedroom servant’s quarters at AU village Cantonment on the most tranquil prestigious serene street in Accra. While the AU village may look like it resides in Europe  the wonderful property is a modern glory  100% completed constructed with careful attention to the detail. The ceilings  walls  doors  fixtures  chandeliers  windows  lighting and electronics were hand-selected and crafted to complement the design.  Inside/Indoors/Interior Features & Amenities: •	Unfurnished  •	Prime location  •	Renovated  •	Quality electrical fittings •	Sliding glazed windows •	Sliding glazed doors   •	Polished porcelain floor tiles   •	Pop ceiling  •	Guest shower & WC •	Fitted Air-conditioners •	Hot water generation system  •	Office room  •	Private locker •	Living + dining:-floor area 42 sqm  security doors for front  security steel doors for the back  air conditioned  sliding glazed windows. •	Family living area:- floor area 8 sqm  air conditioned.  •	Master’s bedroom:-floor area 28 sqm  internal panelled doors  air conditioned  sliding glazed windows south facing windows allow plenty of natural light  walk-in closet  sliding glazed windows facing private terrace  bathtub  the bathroom is ensuite Shower & hand wash basin  WC and ceramic floor & wall tiles. •	2nd Bedroom:-floor area 18 sqm  internal panelled doors  air conditioned  sliding glazed windows  built-in-wardrobe  bathtub  the bathroom is ensuite Shower & hand wash basin  WC ceramic floor & wall tiles. •	3rd Bedroom:-floor area 17.5 sqm  internal panelled doors  air conditioned  built-in-wardrobe the bathroom is ensuite Shower & WC  bathtub  sliding glazed windows and ceramic floor & wall tiles. •	4th Bedroom:- floor area 18 sqm  internal panelled doors  air conditioned  sliding glazed windows  built-in-wardrobe large window with clear view of downtown the bathroom is ensuite Shower & WC  bathtub and ceramic floor & wall tiles.   •	Kitchen:- floor area 15 sqm  internal panelled doors  door less kitchen   modern cabinet  air conditioned  stainless steel double sink  breakfast bar for extra seating  store room. Outside/Outdoor/Exterior Features & Amenities:  •	Located in the heart of town   •	Electric power:- Electricity Company of Ghana and standby generator •	Water supply:- Ghana water company and big water storage tanks •	Paved driveways & walkways  •	Secure parking  •	Privacy fence  •	Balcony  •	Built-in grill  •	Back yard access •	Private yard •	Garbage disposal •	24-hour security service  •	Water storage tanks and water pump with filtration system •	Highest standards of architectural designs and construction •	Outdoor swimming pool  •	 Big terrace •	 Play area (kids) •	 Servant quarters Community Information •	Tiled streets & roads throughout  •	Upper level communal area  •	Country club  •	Clubhouse  •	Jogging area  •	Biking path  •	Spa •	Tennis  •	Police station •	Residential area •	Fitness centre •	Play ground •	Gym facility  •	Shops/ markets •	Hospitals •	International schools   •	City/strip views Community Schools Information  •	Less than 10 minutes drive to Ghana International School (GIS) – Cantonments  •	Less than 10 minutes drive to East Airport International School (EAIS) – Spintex Road   •	Less than 10 minutes drive to the Roman Ridge School – Roman Ridge  •	Less than 10 minutes drive to Three Bears International School – Airport Residential   Additional information •	Less than 20 minutes drive to Accra shopping mall •	Less than 15 minutes drive to the Kotoka International Airport  •	Recommended security zone for expatriates and diplomats •	Price: USD price: $4000.00 per month = GH¢15 200.00 per month •	Price is subjected to charge due to the dollar rate  Important notice:  These particulars have been prepared in all good faith to give a fair overall view of the property. Measurements and distance are given as a guide only. We have endeavoured to ensure the information given is accurate but we would urge you to contact us before travelling any great distance to ensure that your impression of the property is as we intended. We take a month rent commission after service. Please contact us for inspection through the real estate consultant  for an appointment please Call  text or email Emmanuel to arrange a private viewing. Contact person:-Emmanuel Gyina-Bediako-real estate agent/consultant at Egghead Properties Accra Ghana  West Africa.
4 Bedroom House in Regimanuel Estates,Spintex Road,Spintex,Accra,4,3,100x70 sqft,Ghana cedis,8000,Avenue Properties , 8 Jul  9:05 am,House,4 bedrooms house (all rooms are en-suite) for rent in Regimanuel Estates. 2 bedroom outhouse (boys quarters); All rooms have A/C and wardrobe; Spacious compound with nice garden; 2 car garages; Estate house with 24/7 security; Regular flow of water; Well paved road; Location: Golden Gate  Regimanue Estate  off Spintex Road. Price: US$ 2 000/ month - negotiable
4 bedroom furnished house in Airport Res,Airport Residential Area,Airport,Accra,4,4,100x70 sqft,Ghana cedis,18000,Avenue Properties , 8 Jul  8:52 am,House,An executive four bedroom townhouse fully furnished (all en-suite rooms) with one bedroom outhouse for rent in Airport Residential Area. Each room has air condition  internet  DSTV connection and wardrobe. The kitchen is furnished with washing machine  cooker  fridge  freezer and microwave. The house has two living areas  a study  dining area  a standby generator and garage. It has uninterrupted water flow with 24/7 security. Property is renting for US$ 4 500 per month (highly negotiable).
3 BEDROOM HOUSE FOR RENT AT COMM 18,COMM 18  SPINTEX,Spintex,Accra,3,2,30 sqft,Ghana cedis,2000,o2a Properties And Land Surveys , 8 Jul  7:32 am,House,3 BEDROOM SELF COMPOUND HOUSE FOR RENT AT COMM 18 1 MASTER 2 SHARES COMMON TOILET AND BATH BIG HALL DINING AREA PLYWOOD CEILING STOREROOM FITTED KITCHEN PAVEMENT BLOCKS
4 Bedroom House for Rent Spintex,Spintex Near Junction Mall Nungua,Spintex,Accra,4,4,100 sqft,Ghana cedis,4000,o2a Properties And Land Surveys , 8 Jul  7:32 am,House,Executive 4 bedroom house for rent at Ocean View Estate  Near Junction Mall  Nungua.  Features includes: - AC   - Excellently tiled rooms - Fan - Water Dispensor - Internet  - All rooms en suite
4 Bedroom House for Rent at Trassaco,East Legon Trazacco,East Legon,Accra,5,6,2000 sqm,Ghana cedis,22087,Top Class Properties , 8 Jul  7:25 am,House,Amenities :24 Hour security   Backup water supply   Car Parking  Garden  Gated House Category :House   Residential  Locations : Trassaco Valley  Features :Air conditioned  Balcony/Patio  Unfurnished Kitchen :Fitted Kitchen Rooms   Type:Family Room  Formal Dining Room  Formal Living Room  Meetings Room  About this Property:  5 bedroom luxury house for Rent in Trasacco Valley   price: $5000 USD  This luxury 5 bedroom house is a 2- storey building beautifully designed on the ground floor with a spacious living room  dining room terrace  powder room an ensuite bedroom  2 store rooms  laundry room  main fully fitted kitchen with an additional kitchen  breakfast area and a kitchen terrace  3 bedroom staff quarters.  The first floor is equipped with a luxurious ensuite master bedroom with a walk-in-closet and three additional ensuite bedrooms alonside family area with terrace.  Trasacco Valley features shops  restaurants  educational and health facilities. It also has some recreational facilities such as golf course  tennis courts and parks.  Located in Trasacco valley one of the leading residential area in Accra with Kotoka International Airport  international schools  malls and Tema harbour in close Proximity.
4 bedroom for Rent at Lakeside,East Legon Lakeside,East Legon,Accra,4,4,1000 sqft,Ghana cedis,3000,Top Class Properties , 8 Jul  7:25 am,House,4 bedroom House at East Lakeside Ashaley Boatwae *All bedrooms are Ensuite (each room comes with a toilet and bath)  * air conditioner access units in all rooms * Skimmed internal and external walls and led spotlight system in ceilings  * Aluminum windows and fly mesh screen * Fitted kitchen with store room * water heater systems  Call Top Class Properties for broker terms and conditions.  For your building and construction needs  we are number one. Call on us anytime for quotation. Top Class Properties - Helping you find your Home
5 Bedroom House for Rent at East Legon,East Legon Shiashie,East Legon,Accra,5,5,2000 sqft,Ghana cedis,13177,Top Class Properties , 8 Jul  7:25 am,House,Description This house is a 5-bedroom Townhouse with a 2 bedroom staff quarters located in East Legon. The building is well maintained with spacious rooms  back up water and generator  child-friendly grounds and a large swimming pool in the backyard. The house features; Rooms: master bedroom  living/dining room  store room  guest toilet  kitchen  staff quarter Amenities (interior): air conditioners  fitted kitchen + in-built appliances (electric & gas cooker + oven  microwave  extractor hob)  water heater  refrigerator  washing machine  built-in wardrobes & walk-in closets  Amenities (exterior): water reservoirs  backup electricity generator  swimming pool  car park  24/7 security service  intercom services  cleaning services and an on-site management office Service Charge: Generator fuel  garbage disposal  grounds maintenance Services at Charge to Tenant: Utility Bills (Electricity & Water)  internet connection  cable TV subscription The minimum lease period is 1 year. The asking rent price for this property is $3 000 per month. Price is subject to change. Call or Email TopClass Properties to arrange a viewing
Furnished 3 BDR House for Rent@Oyarifa,East Legon,East Legon,Accra,3,4,100 sqft,Ghana cedis,2000,Top Class Properties , 9 Jul  8:58 am,House,3 bedroom House at Oyarifa.  *All bedrooms are ensuite (each room comes with a toilet and bath) * Steel security external Door and panel interior door * Hidden (long span aluminum roofing sheets)  * skimmed internal and external walls and led spotlight system in ceilings  * aluminum windows and fly mesh screen * Guess washroom * fitted kitchen with store room * overhead water storage tank * external paving Compund * Water Heater systems  Call TopClass Properties for broker terms and conditions.  For your building and construction needs  we are number one. Call on us anytime for quotation.
Huge 4 BHK + BQ at Agiringano To Let,East Legon Agiringano,East Legon,Accra,4,4,1000 sqft,Ghana cedis,8600,Top Class Properties , 8 Jul  7:07 am,House,A newly built 4 bedroom house with a bedroom boys quarter is situated at East Legon Agiringano is going for $2000 per month.   The property is in a very serene environment in a secured location  large space for parking a garage  garden. This house has 2 master bedroom and 2 bedrooms sharing the same toilet and bath  fully tiled  water heater. The kitchen is large and comes with a up and down wooden cabinets  provision for washing machine  ceiling fans  sliding windows and doors etc to let  Book your viewing today feel free to call Top class because we have a lot of similar properties around.  Owners and Agents  let us rent or sell your properties for you faster viewing today feel free to call because we have a lot of similar properties around you can whatsap us for more info
4 BDR TownHouse For Rent@East Legon,East Legon,East Legon,Accra,5,6,1000 sqft,Ghana cedis,12605,Top Class Properties , 8 Jul  7:07 am,House,Colorful 4 bedroom townhouse is available for rent at East Legon It has an ultra modern facilities  just call us for viewing Features 4 Bedrooms Access To Basic Amenities Access To Road All Facilities All Rooms En-Suite Balcony Big Compound Big Hall  Built In Wardrobes Conclusive Environment Kindly Contact TopClass Properties
3 bedroom house to Let inside Agiringano,,East Legon,Accra,3,3,100 sqm,Ghana cedis,6926,Top Class Properties , 8 Jul  7:06 am,House,Description An executive 3 bedroom house for rent at East Legon   Agiringano . Each room Has an A/C  Internet  wardrobe and fan. The Kitchen The house has a garage. It has uninterrupted water flow with 24/7 security. It also has management / service team who are always at post to attend to the needs of tenants. The house is renting for US$ 1600 per month.
New 2bedroom Selfcompound 4rent Teshie,Manet Court Estate,Spintex,Accra,2,2,1 sqft,Ghana cedis,700,Nana Kwame Property Agency , 8 Jul  6:53 am,House,An executive new and spacious 2bedroom with 2washrooms semidetached house with electric fence borewhole thats has been connected to serve you water for a very long period of time and other interested facilities for rent at teshie.call Nana kwame property agency for more info:
4 bedrooms house New Weija,New Weija behind the West Hills Mall,New Weija,Accra,4,3,100 sqm,Ghana cedis,1500,KK Solution Limited , 7 Jul 11:45 pm,House,Executive brand new four bedrooms self compound house with two masters bedrooms and another toilets and bath for the other rooms  it's in a walled gated house pavement compound neatly tiled water flows everyday plus additional polytank  fitted kitchen with cabinet and a store room  rooms are very spacious  rent advance is two years price is also negotiable agency terms of registration which is ghc50.00 and a 10 % commission of total amount of rent being paid to the landlord is applied to the agency
1yr 3bedrooms house Oyibi,Oyibi road after the tollbooth,Oyibi,Greater Accra,3,2,111 sqm,Ghana cedis,850,Friend Of Yours Properties , 7 Jul 12:36 pm,House,This is a 3bedrooms house going for a year  it comes with a spacious sitting room  dining area  a big master bedroom with wardrobe fixed  two other rooms with wardrobe fixed and they share one washroom  there is a big kitchen with cabinet fixed. There is tiles everywhere  there is pipe water  walled and gated  very secured and serene community. If interested please call agent for more details.
a very nice house for rent at abelemkpe,dorwulu,Accra Central,Accra,4,4,250 sqm,Ghana cedis,6554,Top Dreams Properties , 6 Jul  3:56 pm,House,a very nice house is going for rent abelemkpe it is a 3 bedroom house with 3 toilet and bath  it also have 1 boys quarters and 1 toilet and bath  all rooms are tiled with a kitchen 24hours water supply and also electricity.it is a walled and gated community there is packing space for cars too. Rent payment can be made monthly.which is $1300 and ghc6 554 in Ghana cedis  PLEASE NOTE;WE ARE AGENCY AND REGISTRATION AND COMMISSION MUST BE PAYABLE
4 Bedroom self compound Adenta,,Adenta,Accra,4,5,334 sqft,Ghana cedis,2000,Unique Shelter , 7 Jul  9:59 pm,House,It has water walled n gated house
6 BRM FURNISHED HOUSE  ADJIRIGANO,,East Legon,Accra,6,6,0 sqm,Ghana cedis,18000,UT Properties , 7 Jul  8:30 pm,House,This 6 bedroom comes fully furnished with modern fittings and furniture. All rooms are en suit with fitted ac's and fans. This property is situate within Adjirigano near Ghana Canada Medical Center. KEY FEATURES Spacious living & dining areas Fitted ac's in all bedrooms & living area Fitted fans in all rooms Modern fitted kitchen with water heater Water heaters in all bathrooms Spacious compound Over heard water tank 2 garage spaces Standby genset
4 bedroom townhouse to let Labone,,Teshie New Town,Accra,4,4,300 sqm,Ghana cedis,17647,J Complex Limited , 7 Jul  8:11 pm,House,An executive 4 (four) bedroom townhouse (all en-suite) to let Labone. The house has one bedroom boys quarters  2 living areas  a dining and garage. Each room has air condition  internet  DSTV connection  wardrobe and fan. The kitchen is partly furnished with washing machine  cooker  fridge and microwave.  The house has a shared swimming pool  a gym and a standby generator. It has uninterrupted water flow with 24/7 security.  Book your viewing today feel free to call j complex limited because we have a lot of similar properties around. Owners and Agents  let us rent or sell your properties for you faster
4 BRM HOUSE TO LET  APRAMANG  KUMASI,,Kumasi Metropolitan,Kumasi,4,4,0 sqm,Ghana cedis,1500,UT Properties ,11 Jul 11:39 am,House,UT Properties is delighted to present this 4 bedroom duplex house situate within Apramang  Kumasi. KEYS FEATURES En suit rooms Fitted wardrobes Spacious living & dining areas Fitted kitchen Paved compound Security post
Executive 5 Bedroom House  Danquah,Police Headquaters,Other,Accra,5,5,70100 sqm,Ghana cedis,22000,Properties Portfolio Gh , 7 Jul  6:49 pm,House,An executive 5 bedroom house plus two boy's quarters is up for rent in the prime and serene environs of Ridge is up for rent. This property has a large compound for parking  garage and can serve dual purpose: Office Space or Residence.  The ground has a spacious living room area with an open space dinning area  visitors washroom  one  kitchen and a storage room and shares one big room fully ensuite. The 1st floor shares the master bedroom with 3 other which are all ensuite  fitted wardrobes  all rooms are well ventilated with A/C with a covered balcony to see the best spots in the environs  it is a security zone as well. and has a basement in the house with a sweet garden to brighten the atmosphere. Its a 5 min drive to and from the Kotoka International Airport and the Accra Mall.  It also leads in out of the busy of Osu (Oxford Street) with so many business hubs  offices  schools and hospitals around. Please call Properties Portfolio now for more info and viewing.
4 bedrooms house to let Labone,Labone,Teshie New Town,Accra,4,4,300 sqm,Ghana cedis,17647,J Complex Limited , 7 Jul  6:29 pm,House,Executive 4 bedrooms house to let Labone is very nice and hygienic environment  acs in all the rooms  fitted kitchen with a very nice cabinet fitted wardrobes  spacious rooms and hall electric fencing  garden  car port all the rooms en suite very neat bathrooms and spacious  air condition water quality materials  and a laundry room with a washing machine  etc Book your viewing today feel free to call j complex limited on because we have a lot of similar properties around. Owners and Agents  let us rent or sell your properties for you faster
East Airport 4 Bedroom House,,Airport,Accra,4,4,1 sqm,Ghana cedis,6450,Isaac Anthony Homes  , 7 Jul  5:26 pm,House,This 4 bedroom house with boys quarters is situated in a gated community at East Airport. Key features: All rooms Ensuite with walk through wardrobe Fitted kitchen Garden 24hr security Price:$1500 per month #isaacanthonyhomes
4 BRM HOUSE TO LET  GREDA ESTATES,,Teshie-Nungua Estates,Accra,4,2,0 sqm,Ghana cedis,4500,UT Properties , 7 Jul  4:59 pm,House,A 4 bedroom house located within the cozy environment of Greda Estates  Teshie Nungua. It features 2 en suit bedrooms  living and dining area plus a fitted kitcehn KEY FEATURES Spacious living & dining areas Fitted ac's in all rooms Fitted wardrobes Paved compound Well maintained garden with potted plants
4 bedroom house to let Abelenkpe,Abelenkpe,Teshie New Town,Accra,4,4,300 sqm,Ghana cedis,4411,J Complex Limited , 7 Jul  4:02 pm,House,This a nice 4 bedroom house to let Abelenkpe with a study room garage and one room outlet. It has a large hall with the darning area   fitted kitchen with cabinet and a store room  p.o.p calling with air condition fixed in all the rooms   constant water runs with water back up tank  nice garden and a paved compound fence with gate.  Book your viewing today feel free to call j complex limited  because we have a lot of similar properties around. Owners and Agents  let us rent or sell your properties for you faster
2 Bedrooms House At Lashibi,Community 18  Lashibi,Lashibi,Accra,2,2,7000 sqft,Ghana cedis,1000,CBC (Global) Properties , 7 Jul  3:58 pm,House,Community 18  Lashibi-Spintex  Accra 5 Bedrooms Main House with 2 Bedrooms Out-House. All rooms en-suite( with Toilet/Bath) Outhouse- 2 Bedrooms Ground floor- 2 Bedrooms Top floor-3 Bedrooms Tiled floor Fitted Kitchen Walled and gated water tank Call us to arrange for a free site visit
4 bedroom house to let Abelemkpe,Abelenkpe,Teshie New Town,Accra,4,4,300 sqm,Ghana cedis,4411,J Complex Limited , 7 Jul  3:50 pm,House,This a nice 4 bedroom house to let Abelenkpe with a study room garage and one room outlet. It has a large hall with the darning area   fitted kitchen with cabinet and a store room  p.o.p calling with air condition fixed in all the rooms   constant water runs with water back up tank  nice garden and a paved compound fence with gate.  Book your viewing today feel free to call j complex limited  because we have a lot of similar properties around. Owners and Agents  let us rent or sell your properties for you faster
East Legon 4 Bedroom House,,East Legon,Accra,4,3,1 sqm,Ghana cedis,4620,Isaac Anthony Homes  ,10 Jul  4:53 pm,House,A charming   light and spacious four bedroom house  well arranged over two floors and set on a generous plot with front driveway and a beautiful garden with spacious shed. 4 Bedroom  Large Bedrooms  Fitted kitchen  Water Tank  Small Gated Estate  Boys Quarters  Generator Close to American House  Security  Price : $1 100 per month #isaacanthonyhomes
East Legon 4 Bedroom house,,East Legon,Accra,4,3,1 sqm,Ghana cedis,10750,Isaac Anthony Homes  , 7 Jul  2:54 pm,House,Isaac Anthony Homes proudly present this modern 4 bedroom with one bedroom boys quarters with a tarred road situated close to American house. Key features Master bedroom Ensuite Fitted kitchen 3 bedroom upstairs Balcony Water tank  Garden Price:$2500 per month #Isaacanthonyhomes
Executive 6 bedrooms -american house,american house,East Legon,Accra,6,6,89 sqm,Ghana cedis,6800,Success 4 Real Estate , 9 Jul 10:01 pm,House,HOUSE FOR rent. Executive 6bedroom fully furnished house at ajinganor  Details of the property: • Location : East legon ajinganor  • Bedrooms: 6 • Full baths: 6 • Condition: very good • Exterior: 0.31 acre • Property type: single family home Inside/Indoors/Interior Features & Amenity • Prime location • Newly built  • Quality electrical fittings • Sliding glazed windows • Sliding glazed doors • porcelain floor tiles • Pop ceiling • Alarm system • CCTV Camera • Spacious master suites • Security system • Storage closet • Guest shower & WC •  Air-conditioners in all the rooms • Water heater available  • Laundry room • All rooms are ensuite •Two Halls •Barbecue Area   • Private locker PRICE : $2000negotiable .
5 BEDROOM HOUSE AT DOME PARAKU,near paraku estate,Dome,Accra,5,5,100 sqm,Ghana cedis,4371,Bestman Properties , 7 Jul 12:35 pm,House,This delightful house is located at Paraku-Dome Very spacious bedrooms Every room comes with toilet and baths A large compound with parking lots Walled and Gated  Fitted Kitchen Tilled Floor everywhere Interested people should call. The price is 1000 dollars.
3 BEDROOM HOUSE IN DZORWULU,Dzorwulu,Dzorwulu,Accra,3,3,100 sqm,Ghana cedis,8743,Bestman Properties , 7 Jul 12:24 pm,House,A beautiful three bedroom en suite apartment  with each room having its toilet and bathroom  beautifully tiled kitchen  access to utilities like water and electricity  air conditioned sliding doors and windows . It is being rented out for 2000 dollars.
4 bedrooms house at sakumono,sakumono,Spintex,Accra,4,4,3000 sqm,Ghana cedis,5400,Newmon Creek Limited , 7 Jul 11:59 am,House,4 bedrooms- all en suit Guest washroom Tiled inside floors Ceiling is made of T&J Paved compound Walled and gated Fitted kitchen cabinet Fitted 2 air conditions-sitting hall and master bedroom Car port area 2 sitting halls-upstairs and downstairs Fitted kitchen cabinet Spacious kitchen with storage room located in gated community Paved drive ways Serene and quite environs
3 bedroom house  Kwabenya,kwabenya,Kwabenya,Accra,3,3,2000 sqm,Ghana cedis,2500,Newmon Creek Limited , 7 Jul 11:55 am,House,3 bedrooms-2 bedrooms en suit Walled and gated Tiled inside floors Attached boys quarters Ceiling is made of white washed card wood Paved compound Fitted ceiling fans Kitchen cabinet will be fitted Located in a gated community with 24hr security Slid ding windows glasses
3 BEDROOM SELF CONTAIN at Oyarifa,School Junction,Oyarifa,Accra,3,2,50/65 sqm,Ghana cedis,900,Ahmed Quarcoo , 7 Jul 11:54 am,House,Three Bedroom house with two bath rooms located at school junction Oyarifa is up for rent. You will just love the house.
Executive house at Paraku estate,,Kumasi Metropolitan,Kumasi,10,10,100 sqm,Ghana cedis,12000,Gappfa Real Estate Agency , 7 Jul 11:31 am,House,This is a newly built house for rent each room is having an air condition.Contact GAPPFA real estate agency for further details.
House at Ahinsan estate,,Kumasi Metropolitan,Kumasi,6,8,100 sqm,Ghana cedis,8000,Gappfa Real Estate Agency , 7 Jul 11:30 am,House,This is a newly built house.Each room is having air condition.Contact GAPPFA real estate agency for further details.
2 BRM FURNISHED  OYARIFA,,Oyarifa,Accra,2,2,95 sqm,Ghana cedis,4000,UT Properties , 7 Jul 10:20 am,House,This lovely and fully furnished 2 bedroom house is located within the cozy environment of Ubuntu Courts - Oyarifa  a gated community which boasts of amenities such as swimming pool  basketball court  tennis court  a unisex hair saloon  laundry etc. KEY FEATURES 2 en-suit bedrooms Fitted ac's in all rooms Modern fitted interior Tarred roads within the community Well lit street lights within the community Estates manager on site
3-bedroom House To-let At Eastlegon,Eastlegon,East Legon,Accra,3,4,100 sqft,Ghana cedis,2500,Green Burg Properties ,13 Jul  6:46 am,House,This 3-bedroom house has a lovely spacious bedroom with waldrobe comes with a security fence and watwr flows cantw wait to see you there
3-Bedroom House To-let At Eastlegon,Eastlegon,East Legon,Accra,3,3,100 sqft,Ghana cedis,2000,Green Burg Properties ,13 Jul  6:45 am,House,This a 3-bedroom house to-let at eastlegon  we still doing the painting and hopefully will be done today all rooms are ensuit with AC in all the rooms  cant wait to see you there
5bedrooms house UPSA madina,Madina Old Asanka local (UPSA),Madina,Accra,5,4,111 sqm,Ghana cedis,1300,Friend Of Yours Properties , 7 Jul  9:54 am,House,Its a 5bedroom house around the old asanka local (Madina UPSA) with four washrooms and a garrage  But has a 2bedroom boys quarters which has already been rented out Pipe water is available and it tiled. Very close to the main road   2yrs advanc  A peaceful and serene environment  call agent for more details.
